title,summary,alternative_names
Acute Bronchitis,"Bronchitis is an inflammation of the airways that carry air to your lungs. Learn about acute bronchitis symptoms, causes, and treatment",
Acute Flaccid Myelitis,Acute flaccid myelitis (AFM) is a rare but serious neurologic disease. It mostly affects children. Learn about its possible causes and symptoms.,AFM
Acute Lymphocytic Leukemia,Acute Lymphocytic Leukemia (ALL) or Acute Lymphoblastic Leukemia is a cancer of the white blood cells. Learn more about symptoms and treatment.,ALL; Acute lymphoblastic leukemia
Acute Myeloid Leukemia,Acute Myeloid Leukemia (AML) is a cancer of the white blood cells. AML usually gets worse quickly if it is not treated. Read more.,AML; ANLL; Acute myelogenous leukemia
Addison Disease, Your adrenal glands makes hormones. Adrenal insufficiency or Addison disease happens if the adrenal glands don't make enough hormones. Read more. ,Adrenal insufficiency; Adrenocortical hypofunction; Hypocortisolism
Adenoids,"Your adenoids are high up in your throat. They trap germs coming in your mouth and nose. Learn about enlarged adenoids, a common problem in children.",
Adhesions,"Abdominal surgery is the main cause of adhesions but not the only one. Learn about the signs, symptoms, and causes this type of scar tissue. ",Abdominal adhesions
Adrenal Gland Cancer,Tumors can affect adrenal glands. Most adrenal gland tumors are benign. Types of tumors include Neuroblastoma and Pheochromocytoma.,
Adrenal Gland Disorders,"Adrenal gland disorders, such as Cushing's Syndrome and Addison's Disease, happen when your glands make too much or not enough hormones.",
Advance Directives,"Advance directives, or living wills, inform your family about your wishes if you become too ill to let them know. Find out more. ",
After Surgery,"Are you concerned about post-surgery side effects or after surgery care? Learn about how to care for incisions, control pain, and more.",Postoperative care; Recovery from surgery
Air Pollution,Did you know that air pollution can happen both inside buildings and outdoors?  Get the facts how air pollution effects your health.,
Alcohol,Many people drink alcohol. Drinking too much can take a serious toll on your health. It's important to know how alcohol affects you and how much is too much.,Drinking
Alcohol Use Disorder (AUD),An alcohol use disorder (AUD) is drinking that causes distress and harm. AUD can range from mild to severe (alcoholism). Learn the signs that you may have a problem with drinking.,Alcohol Abuse; Alcohol dependence; Alcoholism
Alcohol Use Disorder (AUD) Treatment,An alcohol use disorder (AUD) is drinking that causes distress and harm. Learn about the medicines and behavioral therapies that treat AUD.,Alcohol Abuse Treatment; Alcoholism Treatment
Allergy,An allergy is a reaction by your immune system. Substances that cause reactions include pollen and food. Find the full list of allergies and symptoms.,Hypersensitivity
Alpha-1 Antitrypsin Deficiency,Alpha-1 Antitrypsin Deficiency is an inherited condition that raises your risk for lung and liver disease. Learn about the symptoms and treatment.,AATD; Alpha-1; Inherited emphysema
Alzheimer's Caregivers,Caring for someone who has Alzheimer's Disease can be stressful and overwhelming. It's important to take care of yourself. Learn how to find support.,
Alzheimer's Disease,Alzheimer's disease is a brain disorder that slowly destroys memory and thinking skills. It's the most common cause of dementia among older adults.,AD
Amblyopia,"Learn about amblyopia, or ""lazy eye,"" the most common cause of visual problems in children. It happens when an eye fails to work properly with the brain. ",Lazy eye
American Indian and Alaska Native Health,"Every racial or ethnic group has specific health concerns. On this page, you'll find links to health issues that affect American Indians and Alaska Natives.",Alaska Native health; American Indian health
Amino Acid Metabolism Disorders,Disorders like phenylketonuria (PKU) and maple syrup urine disease cause problems with how your body uses proteins. Learn more about them.,
Amyloidosis,Amyloidosis is a rare condition that can affect different organs of the body. Find out about amyloidosis treatment and symptoms. ,
Amyotrophic Lateral Sclerosis,"ALS stands for Amyotrophic Lateral Sclerosis, also called Lou Gehrig's disease. ALS affects the nervous system, causing muscle problems. Find out how.",ALS; Lou Gehrig's disease
Anabolic Steroids,Thinking about using anabolic steroids to build muscles or improve your athletic performance? Think again. Misusing them is not legal or safe. It can cause long-term health problems.,Anabolic-androgenic steroids; Performance-enhancing drugs
Anal Cancer,"Anal cancer is rare. HPV is one of the most common causes. Find out more about anal cancer symptoms, diagnosis, and treatment. ",
Anal Disorders,"Anal disorders include hemorrhoids, fistulas, and abscesses. Learn about which anal conditions are minor and those that are more serious. ",Anorectal diseases
Anaphylaxis,"Anaphylaxis or anaphylactic shock is a serious allergic reaction. It can begin very quickly, and symptoms may be life-threatening. Read the symptoms. ",Anaphylactic shock
Anatomy,Anatomy is the science that studies the structure of the body. Learn about the organs and body parts.,
Anemia,Anemia occurs when your blood doesn't carry enough oxygen to the rest of your body. Read about conditions that lead to it and treatments available.,Iron poor blood
Anesthesia,"Local, regional, general - all are types of anesthesia. Learn about how anesthesia reduces or blocks pain before a surgery. ",
Aneurysms,An aneurysm is a bulge in the wall of an artery. It can develop and grow for years without causing any symptoms. Learn about tests and treatment.,
Angina,Angina is chest pain or discomfort when there is not enough blood flow to your heart muscle. Learn about angina symptoms and treatment.,
Angioplasty,Angioplasty is a procedure to restore blood flow through narrow or blocked arteries. Learn about how stents and angioplasty work.,Balloon angioplasty; Coronary angioplasty; Percutaneous coronary intervention (PCI)
Animal Bites,Wild animals might attack if they are threatened or acting protective. Attacks by pets are more common. Learn how to avoid both types of animal bites.,Cat bites; Dog bites
Animal Diseases and Your Health,You may know that some animal diseases can have an effect on humans. Find out more about animal diseases and your health. ,Zoonoses
Ankle Injuries and Disorders,Ankle injuries and ankle disorders can affect tendons and cartilage. Learn about different kinds of ankle problems including sprains and fractures.,
Ankylosing Spondylitis,Ankylosing spondylitis is a type of arthritis. It causes inflammation between vertebrae and in the joints between spine and pelvis. Learn more.,Rheumatoid spondylitis
